"film","director","actor"
"http://dbpedia.org/resource/Emilia_Pérez__Emilia_Pérez__1","http://dbpedia.org/resource/Jacques_Audiard","http://dbpedia.org/resource/Zoe_Saldaña"
"http://dbpedia.org/resource/Emilia_Pérez__Emilia_Pérez__1","http://dbpedia.org/resource/Jacques_Audiard","http://dbpedia.org/resource/Édgar_Ramírez"
"http://dbpedia.org/resource/Emilia_Pérez__Emilia_Pérez__1","http://dbpedia.org/resource/Jacques_Audiard","http://dbpedia.org/resource/Mark_Ivanir"
"http://dbpedia.org/resource/Emilia_Pérez__Emilia_Pérez__1","http://dbpedia.org/resource/Jacques_Audiard","http://dbpedia.org/resource/Karla_Sofía_Gascón"
"http://dbpedia.org/resource/Emilia_Pérez__Emilia_Pérez__1","http://dbpedia.org/resource/Jacques_Audiard","http://dbpedia.org/resource/Adriana_Paz"
"http://dbpedia.org/resource/Exhibiting_Forgiveness","http://dbpedia.org/resource/Titus_Kaphar","http://dbpedia.org/resource/André_Holland"
"http://dbpedia.org/resource/Exhibiting_Forgiveness","http://dbpedia.org/resource/Titus_Kaphar","http://dbpedia.org/resource/Andra_Day"
"http://dbpedia.org/resource/Exhibiting_Forgiveness","http://dbpedia.org/resource/Titus_Kaphar","http://dbpedia.org/resource/John_Earl_Jelks"
"http://dbpedia.org/resource/Exhibiting_Forgiveness","http://dbpedia.org/resource/Titus_Kaphar","http://dbpedia.org/resource/Aunjanue_Ellis-Taylor"
"http://dbpedia.org/resource/Falcon_Lake_(film)","http://dbpedia.org/resource/Charlotte_Le_Bon","http://dbpedia.org/resource/Sara_Montpetit"
"http://dbpedia.org/resource/Falcon_Lake_(film)","http://dbpedia.org/resource/Charlotte_Le_Bon","http://dbpedia.org/resource/Joseph_Engel"
"http://dbpedia.org/resource/Falcon_Lake_(film)","http://dbpedia.org/resource/Charlotte_Le_Bon","http://dbpedia.org/resource/Karine_Gonthier-Hyndman"
"http://dbpedia.org/resource/Falcon_Lake_(film)","http://dbpedia.org/resource/Charlotte_Le_Bon","http://dbpedia.org/resource/Monia_Chokri"
"http://dbpedia.org/resource/Falling_In_Love_Like_In_Movies","http://dbpedia.org/resource/Yandy_Laurens","http://dbpedia.org/resource/Alex_Abbad"
"http://dbpedia.org/resource/Falling_In_Love_Like_In_Movies","http://dbpedia.org/resource/Yandy_Laurens","http://dbpedia.org/resource/Nirina_Zubir"
"http://dbpedia.org/resource/Falling_In_Love_Like_In_Movies","http://dbpedia.org/resource/Yandy_Laurens","http://dbpedia.org/resource/Dion_Wiyoko"
"http://dbpedia.org/resource/Falling_In_Love_Like_In_Movies","http://dbpedia.org/resource/Yandy_Laurens","http://dbpedia.org/resource/Ringgo_Agus_Rahman"
"http://dbpedia.org/resource/Falling_In_Love_Like_In_Movies","http://dbpedia.org/resource/Yandy_Laurens","http://dbpedia.org/resource/Sheila_Dara_Aisha"
"http://dbpedia.org/resource/Falling_In_Love_Like_In_Movies","http://dbpedia.org/resource/Yandy_Laurens","http://dbpedia.org/resource/Julie_Estelle"
"http://dbpedia.org/resource/Family_Bonus","http://dbpedia.org/resource/Jenö_Csepreghy","http://dbpedia.org/resource/Magda_Kun"
"http://dbpedia.org/resource/Family_Bonus","http://dbpedia.org/resource/Jenö_Csepreghy","http://dbpedia.org/resource/Gerő_Mály"
"http://dbpedia.org/resource/Family_Bonus","http://dbpedia.org/resource/Jenö_Csepreghy","http://dbpedia.org/resource/Steven_Geray"
"http://dbpedia.org/resource/Fantastic_Night_(1943_film)","http://dbpedia.org/resource/Luis_Marquina_(director)","http://dbpedia.org/resource/Carlos_Muñoz_(actor)"
"http://dbpedia.org/resource/Fantastic_Night_(1943_film)","http://dbpedia.org/resource/Luis_Marquina_(director)","http://dbpedia.org/resource/Isabel_de_Pomés"
"http://dbpedia.org/resource/Fantastic_Night_(1943_film)","http://dbpedia.org/resource/Luis_Marquina_(director)","http://dbpedia.org/resource/Paola_Barbara"
"http://dbpedia.org/resource/Farador","http://dbpedia.org/resource/Édouard_Albernhe_Tremblay","http://dbpedia.org/resource/Catherine_Brunet"
"http://dbpedia.org/resource/Farador","http://dbpedia.org/resource/Édouard_Albernhe_Tremblay","http://dbpedia.org/resource/Éric_K._Boulianne"
